province;autonomous_region
Albacete;Comunidad Valenciana
Alicante/Alacant;Comunidad Valenciana
Almería;Andalucía
Araba/Álava;País Vasco
Asturias;Asturias
Ávila;Castilla y León
Badajoz;Extremadura
Baleares;Baleares
Barcelona;Cataluña
Bizkaia;País Vasco
Burgos;Castilla y León
Cáceres;Extremadura
Cádiz;Andalucía
Cantabria;Cantabria
Castellón/Castelló;Comunidad Valenciana
Ceuta;Ceuta
Ciudad Real;Castilla-La Mancha
Córdoba;Andalucía
Coruña, A;Galicia
Cuenca;Castilla-La Mancha
Gipuzkoa;País Vasco
Girona;Cataluña
Granada;Andalucía
Guadalajara;Castilla-La Mancha
Huelva;Andalucía
Huesca;Aragón
Jaén;Andalucía
León;Castilla y León
Lleida;Cataluña
Lugo;Galicia
Madrid;Madrid
Málaga;Andalucía
Melilla;Melilla
Murcia;Murcia
Navarra;Navarra
Ourense;Galicia
Palencia;Castilla-La Mancha
Palmas, Las;Canarias
Pontevedra;Galicia
Rioja, La;La Rioja
Salamanca;Castilla y León
Santa Cruz de Tenerife;Canarias
Segovia;Castilla y León
Sevilla;Andalucía
Soria;Castilla y León
Tarragona;Cataluña
Teruel;Aragón
Toledo;Castilla-La Mancha
Valencia/València;Comunidad Valenciana
Valladolid;Castilla y León
Zamora;Castilla y León
Zaragoza;Aragón
