provincia,iso,comunidad autónoma
A CORUÑA,C,Galicia
ALBACETE,AB,Castilla-La Mancha
ALICANTE,A,Comunidad Valenciana
ALMERIA,AL,Andalucía
ARABA/ALAVA,VI,País Vasco
ASTURIAS,O,Asturias
AVILA,AV,Castilla y León
BADAJOZ,BA,Extremadura
BARCELONA,B,Cataluña
BIZKAIA,BI,País Vasco
BURGOS,BU,Castilla y León
CACERES,CC,Extremadura
CADIZ,CA,Andalucía
CANTABRIA,S,Cantabria
CASTELLON,CS,Comunidad Valenciana
CEUTA,CE,Ceuta
CIUDAD REAL,CR,Castilla-La Mancha
CORDOBA,CO,Andalucía
CUENCA,CU,Castilla-La Mancha
GIPUZKOA,SS,País Vasco
GIRONA,GI,Cataluña
GRANADA,GR,Andalucía
GUADALAJARA,GU,Castilla-La Mancha
HUELVA,H,Andalucía
HUESCA,HU,Aragón
ILLES BALEARS,PM,Baleares
JAEN,J,Andalucía
LA RIOJA,LO,La Rioja
LAS PALMAS,GC,Canarias
LEON,LE,Castilla y León
LLEIDA,L,Cataluña
LUGO,LU,Galicia
MADRID,M,Madrid
MALAGA,MA,Andalucía
MELILLA,ML,Melilla
MURCIA,MU,Murcia
NAVARRA,NA,Navarra
OURENSE,OR,Galicia
PALENCIA,P,Castilla y León
PONTEVEDRA,PO,Galicia
SALAMANCA,SA,Castilla y León
SEGOVIA,SG,Castilla y León
SEVILLA,SE,Andalucía
SORIA,SO,Castilla y León
STA. CRUZ DE TENERIFE,TF,Canarias
TARRAGONA,T,Cataluña
TERUEL,TE,Aragón
TOLEDO,TO,Castilla-La Mancha
VALENCIA,V,Comunidad Valenciana
VALLADOLID,VA,Castilla y León
ZAMORA,ZA,Castilla y León
ZARAGOZA,Z,Aragón
